fold,rmse,mae,r2,spearman
1,3.4362260699211506,2.8747096368789675,0.35739504722450866,0.4424242424242424
2,4.317050476303348,3.8474668162345886,0.04345618044917732,0.07385489458759964
3,3.435771634040057,2.6898237480163574,0.20219236506030802,0.406060606060606
4,5.000421539136554,4.415661435657078,-0.21922844953652176,0.10041928905068676
5,4.201069855505618,3.703020561854044,-0.054424047748874216,0.2689170581811257
